ConversationID,ClienteID,FechaHora,Canal,Intencion,Servicio,DuracionMinutos,TuvoError,EstadoConversacion,Convertido,Satisfaccion
29,841,2025-11-24 13:47:20,WhatsApp,Soporte técnico,Soporte,13,False,Finalizada,True,5
30,732,2025-08-13 13:58:46,Web,Cancelar servicio,Atención Comercial,4,False,Finalizada,False,4
31,1779,2025-01-15 20:07:53,Web,Reclamo,Soporte,15,True,Finalizada,True,3
32,1119,2025-01-10 15:05:14,WhatsApp,Cancelar servicio,Soporte,3,False,Finalizada,False,3
33,229,2025-04-30 03:39:54,WhatsApp,Consultar precios,Atención Comercial,4,False,Finalizada,True,5
34,563,2025-09-04 20:39:51,WhatsApp,Solicitar información,Postventa,5,False,Finalizada,True,5
35,1394,2025-03-10 20:15:56,Facebook,Agendar servicio,Soporte,6,False,Abandonada,False,2
36,711,2025-07-27 10:09:31,Web,Soporte técnico,Atención Comercial,11,False,Finalizada,True,5
37,1540,2025-05-23 12:22:03,Web,Solicitar información,Atención Comercial,6,False,Finalizada,True,5
38,533,2025-10-27 11:10:53,Web,Cancelar servicio,Ventas,2,False,Finalizada,False,4
39,76,2025-03-03 18:04:35,WhatsApp,Agendar servicio,Atención Comercial,5,False,Finalizada,False,4
40,1059,2025-06-25 12:21:54,WhatsApp,Agendar servicio,Atención al Cliente,7,False,Finalizada,False,3
41,678,2025-06-21 19:51:05,WhatsApp,Cancelar servicio,Postventa,2,False,Finalizada,False,4
42,939,2025-04-14 18:14:26,Web,Cancelar servicio,Ventas,2,False,Finalizada,False,4
43,1157,2025-05-01 12:38:03,Web,Reclamo,Atención Comercial,9,True,Finalizada,True,3
44,1347,2025-11-13 12:45:32,WhatsApp,Consultar precios,Atención al Cliente,3,False,Finalizada,False,3
45,1220,2025-08-18 19:18:28,WhatsApp,Agendar servicio,Ventas,8,False,Finalizada,True,4
46,1049,2025-11-16 19:01:00,WhatsApp,Cancelar servicio,Ventas,3,False,Finalizada,True,5
47,69,2025-06-12 12:36:01,WhatsApp,Soporte técnico,Atención al Cliente,14,False,Finalizada,False,5
48,818,2025-03-20 18:47:45,WhatsApp,Seguimiento,Atención Comercial,6,False,Finalizada,True,5
49,1493,2025-07-30 09:06:51,WhatsApp,Solicitar información,Postventa,6,False,Finalizada,False,4
50,1142,2025-06-15 13:01:27,WhatsApp,Consultar precios,Atención al Cliente,5,False,Abandonada,False,1
51,1990,2025-06-22 19:57:35,WhatsApp,Agendar servicio,Ventas,7,False,Finalizada,False,4
52,793,2025-05-07 20:47:56,Instagram,Seguimiento,Soporte,7,False,Abandonada,False,1
53,673,2025-05-05 18:27:07,Web,Seguimiento,Atención Comercial,7,False,Finalizada,True,4
54,353,2025-11-26 19:31:10,Facebook,Consultar precios,Atención Comercial,4,False,Finalizada,True,5
55,1027,2025-09-19 09:54:12,Facebook,Seguimiento,Postventa,6,True,Finalizada,False,3
56,261,2025-04-26 09:09:15,Web,Soporte técnico,Atención al Cliente,12,False,Finalizada,False,3
57,1573,2025-08-05 10:06:30,WhatsApp,Cancelar servicio,Soporte,4,False,Finalizada,False,3
58,175,2025-01-22 18:34:26,Facebook,Agendar servicio,Atención Comercial,5,True,Finalizada,False,2
59,443,2025-07-22 20:53:27,WhatsApp,Solicitar información,Ventas,6,False,Finalizada,False,3
60,552,2025-08-05 13:36:01,Web,Solicitar información,Atención al Cliente,4,False,Abandonada,False,2
61,1402,2025-01-02 19:23:09,Web,Cancelar servicio,Ventas,2,True,Finalizada,False,3
62,122,2025-12-09 19:08:54,Instagram,Agendar servicio,Atención Comercial,8,False,Finalizada,False,4
63,273,2025-09-23 17:19:36,Web,Reclamo,Ventas,11,False,Abandonada,False,2
64,701,2025-10-17 20:16:06,Facebook,Soporte técnico,Atención al Cliente,15,True,Finalizada,False,2
65,389,2025-01-02 15:17:29,Web,Soporte técnico,Ventas,17,True,Finalizada,True,3
66,326,2025-11-22 08:10:01,Web,Consultar precios,Atención Comercial,3,False,Abandonada,False,1
67,142,2025-03-09 20:36:01,Web,Consultar precios,Ventas,3,False,Abandonada,False,2
68,273,2025-03-22 15:20:30,Facebook,Solicitar información,Atención Comercial,5,False,Finalizada,False,5
69,264,2025-08-13 08:49:56,Web,Seguimiento,Atención Comercial,6,False,Finalizada,True,5
70,132,2025-09-10 02:00:23,Instagram,Consultar precios,Atención al Cliente,3,False,Finalizada,True,5
71,1477,2025-07-09 13:31:37,Web,Agendar servicio,Postventa,6,False,Abandonada,False,1
72,683,2025-10-15 03:19:04,Web,Seguimiento,Postventa,7,False,Finalizada,False,4
73,1454,2025-02-28 20:16:34,WhatsApp,Cancelar servicio,Postventa,4,False,Finalizada,False,3
74,88,2025-06-29 18:45:05,WhatsApp,Reclamo,Ventas,13,True,Finalizada,False,1
75,581,2025-07-19 13:42:33,Telegram,Reclamo,Atención Comercial,9,False,Finalizada,False,5
76,270,2025-08-03 15:04:22,Instagram,Reclamo,Atención Comercial,13,True,Abandonada,False,2
77,129,2025-05-26 19:02:57,WhatsApp,Seguimiento,Atención al Cliente,5,False,Finalizada,True,5
78,1193,2025-06-08 19:26:27,Web,Agendar servicio,Soporte,6,False,Finalizada,True,5
79,1706,2025-10-29 18:41:13,Facebook,Consultar precios,Postventa,3,False,Finalizada,False,5
80,1540,2025-06-12 00:41:41,Web,Solicitar información,Atención al Cliente,6,True,Finalizada,True,2
81,1771,2025-06-01 12:23:01,WhatsApp,Solicitar información,Soporte,5,False,Finalizada,True,5
82,286,2025-03-10 08:03:52,Telegram,Solicitar información,Ventas,4,False,Finalizada,False,3
83,1175,2025-09-16 13:57:38,Instagram,Solicitar información,Atención al Cliente,5,False,Finalizada,True,5
84,1483,2025-03-31 19:28:26,Web,Cancelar servicio,Atención Comercial,4,False,Abandonada,False,1
85,1392,2025-11-17 12:22:24,WhatsApp,Soporte técnico,Atención Comercial,12,False,Finalizada,False,5
86,1066,2025-10-30 09:31:19,WhatsApp,Seguimiento,Postventa,4,False,Finalizada,False,5
87,362,2025-05-16 13:03:47,Web,Seguimiento,Postventa,5,True,Finalizada,False,2
88,567,2025-02-16 19:37:52,WhatsApp,Solicitar información,Ventas,6,False,Finalizada,True,5
89,1100,2025-05-17 13:45:18,WhatsApp,Cancelar servicio,Atención al Cliente,4,False,Finalizada,True,5
90,1906,2025-06-24 12:36:01,Telegram,Reclamo,Ventas,9,True,Finalizada,True,3
91,619,2025-07-30 10:44:40,Instagram,Solicitar información,Atención Comercial,5,False,Finalizada,True,5
92,1391,2025-01-31 10:58:04,Web,Reclamo,Postventa,15,False,Abandonada,False,1
93,1979,2025-08-27 13:16:45,WhatsApp,Consultar precios,Ventas,4,False,Finalizada,True,5
94,1913,2025-09-08 18:44:31,Facebook,Seguimiento,Ventas,7,False,Abandonada,False,2
95,1517,2025-06-04 18:58:16,Web,Soporte técnico,Postventa,17,False,Finalizada,False,3
96,1952,2025-09-04 20:41:22,WhatsApp,Reclamo,Atención Comercial,12,True,Abandonada,False,1
97,1898,2025-08-01 19:35:04,Web,Solicitar información,Soporte,6,False,Finalizada,True,5
98,1823,2025-12-01 12:34:10,Web,Agendar servicio,Ventas,8,False,Finalizada,True,4
99,333,2025-02-01 00:38:15,WhatsApp,Soporte técnico,Ventas,15,False,Finalizada,True,5
100,210,2025-07-02 19:51:43,Telegram,Solicitar información,Postventa,6,False,Finalizada,False,3
101,1900,2025-03-20 17:15:28,WhatsApp,Seguimiento,Postventa,4,False,Finalizada,True,5
102,541,2025-07-05 08:07:57,WhatsApp,Reclamo,Postventa,13,False,Abandonada,False,1
103,1226,2025-08-25 12:03:38,WhatsApp,Agendar servicio,Atención al Cliente,8,False,Finalizada,True,4
104,207,2025-06-20 16:56:45,Web,Consultar precios,Soporte,4,False,Abandonada,False,1
105,78,2025-02-10 08:54:21,WhatsApp,Cancelar servicio,Atención Comercial,2,False,Finalizada,False,5
106,1141,2025-10-25 10:31:05,Web,Solicitar información,Ventas,4,False,Finalizada,True,5
107,1608,2025-12-24 13:47:17,WhatsApp,Consultar precios,Soporte,5,False,Finalizada,True,5
108,581,2025-06-30 20:08:35,WhatsApp,Soporte técnico,Soporte,15,False,Finalizada,True,5
109,684,2025-08-11 13:33:55,WhatsApp,Cancelar servicio,Soporte,4,True,Finalizada,False,3
110,1622,2025-03-16 19:04:02,Instagram,Cancelar servicio,Ventas,4,False,Finalizada,False,5
111,778,2025-05-06 18:30:22,WhatsApp,Agendar servicio,Postventa,7,False,Finalizada,True,5
112,195,2025-06-08 20:17:59,WhatsApp,Seguimiento,Ventas,6,False,Finalizada,True,5
113,752,2025-09-05 20:01:45,WhatsApp,Cancelar servicio,Soporte,4,True,Finalizada,True,2
114,1642,2025-02-10 20:59:39,WhatsApp,Agendar servicio,Atención Comercial,5,False,Finalizada,True,4
115,1617,2025-10-22 19:01:37,WhatsApp,Cancelar servicio,Postventa,2,False,Abandonada,False,2
116,1822,2025-11-08 12:43:17,Web,Consultar precios,Soporte,5,False,Finalizada,True,5
117,1856,2025-02-17 13:24:50,WhatsApp,Soporte técnico,Ventas,15,True,Abandonada,False,1
118,1567,2025-11-23 12:53:38,WhatsApp,Soporte técnico,Postventa,11,False,Finalizada,False,4
119,326,2025-05-14 12:44:10,Facebook,Seguimiento,Atención al Cliente,7,False,Abandonada,False,1
120,440,2025-07-06 19:43:59,WhatsApp,Consultar precios,Atención al Cliente,3,False,Finalizada,True,5
121,416,2025-01-26 17:36:34,Web,Seguimiento,Soporte,5,False,Abandonada,False,2
122,923,2025-04-10 03:55:25,WhatsApp,Reclamo,Postventa,10,False,Abandonada,False,2
123,313,2025-01-12 18:02:45,WhatsApp,Consultar precios,Soporte,4,False,Finalizada,True,5
124,474,2025-06-06 12:33:20,WhatsApp,Cancelar servicio,Atención Comercial,3,False,Abandonada,False,1
125,1128,2025-03-14 19:57:41,Facebook,Reclamo,Soporte,10,False,Finalizada,False,4
126,1546,2025-01-15 12:09:55,WhatsApp,Cancelar servicio,Postventa,4,False,Finalizada,True,5
127,464,2025-02-14 15:50:30,Web,Consultar precios,Atención al Cliente,3,False,Finalizada,True,4
128,591,2025-04-27 13:04:22,Instagram,Reclamo,Postventa,12,True,Finalizada,True,1
129,139,2025-06-11 13:58:31,WhatsApp,Cancelar servicio,Ventas,3,False,Finalizada,True,5
130,1995,2025-11-18 13:44:04,WhatsApp,Seguimiento,Postventa,6,False,Finalizada,True,5
131,797,2025-10-20 16:40:11,Facebook,Agendar servicio,Atención al Cliente,5,False,Finalizada,True,5
132,935,2025-11-26 20:35:29,Instagram,Consultar precios,Soporte,3,False,Finalizada,False,4
133,862,2025-10-03 20:29:56,Instagram,Soporte técnico,Ventas,13,False,Abandonada,False,2
134,1518,2025-05-19 20:57:23,Web,Reclamo,Atención Comercial,11,False,Finalizada,False,3
135,1964,2025-12-07 13:39:14,WhatsApp,Agendar servicio,Soporte,5,True,Finalizada,True,3
136,1422,2025-09-10 19:41:55,WhatsApp,Seguimiento,Atención al Cliente,6,False,Abandonada,False,1
137,1965,2025-10-10 19:51:49,Instagram,Consultar precios,Atención al Cliente,3,False,Finalizada,False,5
138,936,2025-09-26 18:02:00,WhatsApp,Solicitar información,Soporte,5,False,Finalizada,True,5
139,549,2025-10-09 11:10:08,Web,Solicitar información,Postventa,6,False,Abandonada,False,1
140,487,2025-09-17 16:42:19,Facebook,Seguimiento,Soporte,4,False,Finalizada,False,3
141,645,2025-04-25 20:57:31,WhatsApp,Cancelar servicio,Atención al Cliente,3,False,Finalizada,False,3
142,1366,2025-03-06 13:45:05,Instagram,Agendar servicio,Ventas,5,False,Finalizada,False,4
143,1947,2025-06-13 20:44:55,Facebook,Agendar servicio,Postventa,7,True,Finalizada,True,2
144,288,2025-11-21 19:48:20,WhatsApp,Seguimiento,Atención Comercial,4,True,Finalizada,False,3
145,571,2025-11-12 08:09:31,WhatsApp,Agendar servicio,Postventa,8,True,Finalizada,False,1
146,747,2025-04-21 19:40:31,Web,Consultar precios,Atención al Cliente,4,False,Finalizada,True,5
147,1945,2025-11-27 01:18:11,WhatsApp,Cancelar servicio,Postventa,4,True,Abandonada,False,2
148,1220,2025-03-31 13:14:40,Facebook,Solicitar información,Atención Comercial,6,False,Abandonada,False,2
149,522,2025-01-31 02:10:30,WhatsApp,Agendar servicio,Soporte,7,False,Finalizada,False,3
150,1908,2025-04-28 12:30:11,WhatsApp,Solicitar información,Atención al Cliente,5,False,Finalizada,False,3
151,1426,2025-11-04 12:03:47,WhatsApp,Cancelar servicio,Soporte,2,False,Finalizada,True,4
152,806,2025-01-15 18:19:20,Web,Soporte técnico,Ventas,17,False,Finalizada,True,5
153,651,2025-10-05 00:45:49,Instagram,Cancelar servicio,Ventas,4,False,Abandonada,False,1
154,1702,2025-08-31 13:07:38,Facebook,Agendar servicio,Atención al Cliente,6,False,Finalizada,False,4
155,620,2025-06-14 13:00:12,Web,Consultar precios,Postventa,3,True,Finalizada,False,1
156,537,2025-10-20 12:37:22,Facebook,Solicitar información,Postventa,6,False,Finalizada,False,3
157,1953,2025-09-17 20:16:45,WhatsApp,Reclamo,Postventa,10,False,Finalizada,False,3
158,1345,2025-09-21 13:05:46,Web,Agendar servicio,Postventa,5,False,Finalizada,True,5
159,537,2025-11-25 18:21:59,WhatsApp,Soporte técnico,Ventas,18,False,Finalizada,True,4
160,1267,2025-09-09 17:55:51,WhatsApp,Solicitar información,Atención al Cliente,6,False,Finalizada,True,5
161,1130,2025-06-14 12:13:17,WhatsApp,Reclamo,Ventas,12,True,Finalizada,True,2
162,731,2025-02-12 12:20:48,Instagram,Solicitar información,Ventas,6,False,Finalizada,False,3
163,450,2025-02-09 18:58:42,WhatsApp,Seguimiento,Ventas,5,False,Finalizada,False,4
164,1347,2025-10-30 18:14:23,Web,Agendar servicio,Atención Comercial,7,False,Finalizada,True,5
165,187,2025-09-21 11:24:41,Web,Agendar servicio,Atención Comercial,5,False,Finalizada,False,4
166,429,2025-07-17 18:58:27,Web,Reclamo,Atención Comercial,8,True,Abandonada,False,1
167,1713,2025-09-21 19:42:41,WhatsApp,Agendar servicio,Postventa,7,False,Abandonada,False,1
168,1875,2025-08-14 20:01:38,Instagram,Cancelar servicio,Soporte,3,False,Finalizada,False,5
169,1322,2025-03-14 13:17:48,Telegram,Seguimiento,Ventas,7,False,Finalizada,False,3
170,156,2025-08-31 18:45:03,WhatsApp,Agendar servicio,Atención al Cliente,8,False,Finalizada,True,4
171,1565,2025-10-31 12:30:12,Instagram,Agendar servicio,Atención Comercial,5,False,Finalizada,True,5
172,452,2025-12-13 18:15:24,Instagram,Agendar servicio,Atención Comercial,7,False,Finalizada,False,3
173,1782,2025-04-28 19:11:17,Web,Seguimiento,Ventas,7,False,Finalizada,True,4
174,1377,2025-09-01 19:45:40,Telegram,Seguimiento,Atención al Cliente,7,False,Finalizada,True,5
175,566,2025-05-16 05:55:59,WhatsApp,Reclamo,Postventa,14,False,Finalizada,False,4
176,457,2025-10-20 12:57:24,Instagram,Consultar precios,Postventa,4,False,Abandonada,False,1
177,1656,2025-04-30 20:17:39,WhatsApp,Reclamo,Soporte,13,False,Finalizada,False,3
178,413,2025-03-27 17:09:57,WhatsApp,Reclamo,Ventas,15,False,Finalizada,True,5
179,1504,2025-05-19 13:53:13,WhatsApp,Reclamo,Soporte,13,True,Finalizada,True,3
180,1153,2025-10-04 05:00:27,WhatsApp,Reclamo,Atención Comercial,12,False,Finalizada,True,4
181,551,2025-02-08 19:19:46,Facebook,Consultar precios,Postventa,5,False,Finalizada,True,5
182,370,2025-07-08 18:59:33,WhatsApp,Soporte técnico,Atención al Cliente,10,False,Finalizada,True,5
183,1695,2025-06-17 19:58:47,Web,Seguimiento,Atención al Cliente,7,False,Finalizada,True,5
184,286,2025-10-13 20:46:37,Facebook,Soporte técnico,Atención al Cliente,15,True,Finalizada,False,2
185,1025,2025-04-14 12:08:04,Facebook,Soporte técnico,Postventa,11,True,Finalizada,False,2
186,625,2025-03-22 11:19:55,Web,Consultar precios,Atención al Cliente,3,False,Finalizada,True,5
187,451,2025-06-02 19:24:16,Facebook,Solicitar información,Ventas,5,False,Finalizada,False,3
188,1179,2025-02-06 09:12:27,Web,Agendar servicio,Ventas,5,False,Finalizada,True,4
189,1135,2025-12-03 20:07:03,WhatsApp,Consultar precios,Atención al Cliente,5,False,Abandonada,False,1
190,92,2025-01-20 12:58:02,Facebook,Solicitar información,Postventa,4,True,Finalizada,False,2
191,1455,2025-08-18 13:43:18,Facebook,Cancelar servicio,Ventas,4,False,Finalizada,True,5
192,1170,2025-04-28 16:39:06,WhatsApp,Reclamo,Soporte,11,False,Finalizada,False,5
193,559,2025-07-31 20:58:03,Web,Solicitar información,Ventas,5,False,Finalizada,True,5
194,1143,2025-01-25 02:54:48,WhatsApp,Reclamo,Ventas,15,False,Finalizada,True,5
195,1864,2025-03-04 12:58:40,WhatsApp,Seguimiento,Ventas,6,True,Finalizada,False,3
196,89,2025-07-30 19:35:33,Instagram,Cancelar servicio,Postventa,4,False,Finalizada,False,4
197,96,2025-02-27 18:11:28,WhatsApp,Seguimiento,Ventas,6,False,Finalizada,True,5
198,1031,2025-03-04 19:33:01,WhatsApp,Seguimiento,Atención al Cliente,6,False,Finalizada,False,3
199,1164,2025-03-16 05:58:36,Telegram,Cancelar servicio,Atención Comercial,3,False,Finalizada,False,3
200,1542,2025-06-07 02:22:27,WhatsApp,Soporte técnico,Postventa,15,True,Finalizada,True,2
201,803,2025-05-02 18:52:44,Instagram,Consultar precios,Postventa,3,False,Abandonada,False,2
202,1984,2025-04-10 18:08:16,WhatsApp,Cancelar servicio,Postventa,4,False,Finalizada,True,5
203,1348,2025-09-08 20:23:13,WhatsApp,Seguimiento,Atención Comercial,4,False,Finalizada,False,4
204,1428,2025-10-30 12:14:32,Instagram,Consultar precios,Atención Comercial,4,False,Finalizada,False,4
205,382,2025-05-13 03:10:58,WhatsApp,Reclamo,Postventa,14,True,Finalizada,True,1
206,1382,2025-06-05 15:10:52,Web,Soporte técnico,Atención al Cliente,16,False,Finalizada,False,3
207,1872,2025-06-26 17:28:35,WhatsApp,Agendar servicio,Atención Comercial,6,False,Finalizada,True,5
208,1917,2025-06-07 16:53:23,Web,Cancelar servicio,Soporte,4,False,Finalizada,False,5
209,1267,2025-09-27 13:51:15,Facebook,Reclamo,Atención al Cliente,8,True,Finalizada,True,3
210,1135,2025-05-04 20:33:08,Web,Consultar precios,Atención al Cliente,3,False,Finalizada,True,5
211,420,2025-02-26 09:48:40,WhatsApp,Consultar precios,Ventas,3,False,Finalizada,True,5
212,42,2025-07-07 12:30:58,Web,Solicitar información,Ventas,6,False,Finalizada,False,4
213,464,2025-03-31 20:21:48,WhatsApp,Reclamo,Soporte,9,False,Finalizada,False,3
214,1940,2025-12-06 19:35:56,WhatsApp,Reclamo,Soporte,8,False,Abandonada,False,2
215,295,2025-07-02 19:12:20,WhatsApp,Consultar precios,Atención Comercial,5,False,Finalizada,False,5
216,1474,2025-03-07 20:39:09,Facebook,Consultar precios,Atención Comercial,3,False,Abandonada,False,1
217,1110,2025-11-11 17:35:49,Web,Solicitar información,Postventa,6,False,Finalizada,False,4
218,517,2025-04-11 20:15:06,Web,Solicitar información,Postventa,5,False,Finalizada,False,3
219,528,2025-08-07 18:49:35,WhatsApp,Consultar precios,Postventa,5,False,Finalizada,True,5
220,813,2025-09-14 18:13:21,WhatsApp,Reclamo,Soporte,10,False,Abandonada,False,2
221,479,2025-06-12 18:43:25,Instagram,Reclamo,Ventas,12,True,Abandonada,False,1
222,1548,2025-04-26 08:30:53,Web,Solicitar información,Postventa,5,False,Abandonada,False,2
223,1252,2025-02-28 16:07:15,WhatsApp,Solicitar información,Ventas,5,False,Abandonada,False,2
224,1975,2025-08-06 19:56:23,WhatsApp,Soporte técnico,Atención Comercial,12,False,Finalizada,False,5
225,1702,2025-03-15 15:40:53,Web,Consultar precios,Postventa,5,False,Finalizada,True,5
226,501,2025-09-30 20:23:22,WhatsApp,Reclamo,Atención al Cliente,8,False,Finalizada,False,4
227,315,2025-09-08 02:41:58,Web,Consultar precios,Soporte,3,False,Abandonada,False,1
228,339,2025-12-23 12:00:40,Instagram,Agendar servicio,Soporte,5,False,Finalizada,False,3
229,1119,2025-01-24 18:19:11,WhatsApp,Solicitar información,Soporte,4,False,Finalizada,False,4
230,955,2025-05-26 18:17:09,Web,Soporte técnico,Ventas,10,True,Finalizada,False,1
231,156,2025-02-23 18:50:02,Facebook,Cancelar servicio,Postventa,3,False,Finalizada,False,4
232,440,2025-02-15 09:04:03,Web,Solicitar información,Atención Comercial,4,False,Finalizada,True,5
233,1656,2025-06-13 18:57:42,Facebook,Consultar precios,Atención al Cliente,3,False,Finalizada,False,3
234,1873,2025-06-14 20:13:16,WhatsApp,Cancelar servicio,Atención al Cliente,4,False,Finalizada,True,5
235,75,2025-07-10 03:28:08,WhatsApp,Solicitar información,Atención Comercial,6,False,Abandonada,False,1
236,173,2025-08-12 19:31:03,Telegram,Solicitar información,Postventa,4,False,Abandonada,False,1
237,1554,2025-08-31 17:29:15,Telegram,Soporte técnico,Atención Comercial,13,False,Abandonada,False,2
238,263,2025-08-01 18:13:15,WhatsApp,Cancelar servicio,Atención Comercial,4,False,Finalizada,True,5
239,1593,2025-02-20 18:11:06,Web,Consultar precios,Soporte,3,False,Finalizada,False,4
240,1165,2025-12-14 18:31:42,Facebook,Solicitar información,Postventa,4,False,Abandonada,False,1
241,1023,2025-10-28 05:18:48,WhatsApp,Agendar servicio,Postventa,7,False,Finalizada,True,4
242,285,2025-05-11 12:12:41,Web,Reclamo,Atención al Cliente,14,True,Finalizada,False,3
243,674,2025-07-18 13:41:44,WhatsApp,Reclamo,Atención al Cliente,8,False,Abandonada,False,1
244,1934,2025-06-10 18:21:59,WhatsApp,Seguimiento,Postventa,7,False,Finalizada,True,5
245,23,2025-09-14 12:08:11,Instagram,Consultar precios,Postventa,3,False,Finalizada,False,4
246,593,2025-01-06 18:35:48,WhatsApp,Seguimiento,Ventas,5,False,Finalizada,False,5
247,86,2025-03-29 10:58:11,Web,Agendar servicio,Ventas,5,False,Abandonada,False,2
248,26,2025-04-20 13:28:14,WhatsApp,Consultar precios,Ventas,4,False,Abandonada,False,2
249,1394,2025-01-10 19:58:44,WhatsApp,Seguimiento,Atención Comercial,5,False,Finalizada,True,5
250,687,2025-02-21 08:37:19,Web,Consultar precios,Ventas,3,False,Finalizada,False,3
251,737,2025-08-31 18:49:16,Web,Agendar servicio,Atención Comercial,8,False,Finalizada,True,4
252,665,2025-11-20 19:19:59,WhatsApp,Seguimiento,Postventa,4,False,Finalizada,True,5
253,1060,2025-07-01 00:13:55,WhatsApp,Soporte técnico,Atención al Cliente,18,True,Abandonada,False,2
254,667,2025-06-14 18:31:57,WhatsApp,Solicitar información,Atención Comercial,6,False,Finalizada,True,5
255,877,2025-02-02 12:03:27,Facebook,Consultar precios,Soporte,4,False,Finalizada,True,5
256,429,2025-03-31 01:34:51,Instagram,Seguimiento,Ventas,6,False,Finalizada,False,3
257,1787,2025-10-27 19:50:53,Web,Consultar precios,Soporte,5,False,Finalizada,False,3
258,1247,2025-05-25 17:29:27,Instagram,Soporte técnico,Atención Comercial,14,True,Finalizada,True,1
259,1823,2025-03-19 13:42:10,Web,Seguimiento,Atención al Cliente,6,False,Finalizada,True,4
260,1900,2025-12-18 18:07:30,WhatsApp,Reclamo,Soporte,9,False,Abandonada,False,1
261,1676,2025-05-10 19:34:15,WhatsApp,Cancelar servicio,Ventas,3,False,Finalizada,False,4
262,292,2025-07-15 17:38:41,Web,Cancelar servicio,Atención Comercial,3,False,Finalizada,True,5
263,1049,2025-07-26 12:27:22,Web,Agendar servicio,Atención Comercial,6,False,Finalizada,False,3
264,1563,2025-12-24 19:42:30,WhatsApp,Agendar servicio,Postventa,5,True,Abandonada,False,1
265,1862,2025-11-13 02:30:32,WhatsApp,Soporte técnico,Postventa,12,True,Abandonada,False,1
266,1032,2025-09-16 20:28:19,Instagram,Cancelar servicio,Atención al Cliente,2,False,Finalizada,False,5
267,1038,2025-01-17 20:37:59,Instagram,Agendar servicio,Soporte,6,False,Finalizada,False,5
268,464,2025-09-19 18:49:14,WhatsApp,Solicitar información,Atención Comercial,6,False,Finalizada,False,4
269,1345,2025-03-11 20:20:30,Instagram,Agendar servicio,Postventa,6,False,Abandonada,False,2
270,1242,2025-12-14 20:06:06,Facebook,Cancelar servicio,Atención al Cliente,4,False,Finalizada,True,5
271,1887,2025-12-22 13:32:22,Facebook,Seguimiento,Postventa,6,False,Finalizada,False,5
272,634,2025-08-01 19:11:12,Instagram,Cancelar servicio,Atención Comercial,2,False,Finalizada,False,4
273,257,2025-11-02 17:50:32,WhatsApp,Agendar servicio,Atención Comercial,8,False,Finalizada,True,4
